rank,rankChange,symbolCode,code,name,tradePrice,change,changePrice,changeRate,chartSlideImage,isNew
1,0,A005930,KR7005930003,삼성전자,56000,FALL,1000,0.0175438596,,False
rank,rankChange,symbolCode,code,name,tradePrice,change,changePrice,changeRate,chartSlideImage,isNew
1,0,A005930,KR7005930003,삼성전자,56000,FALL,1000,0.0175438596,,False
2,1,A035720,KR7035720002,카카오,66800,FALL,3100,0.0443490701,,False
rank,rankChange,symbolCode,code,name,tradePrice,change,changePrice,changeRate,chartSlideImage,isNew
1,0,A005930,KR7005930003,삼성전자,56000,FALL,1000,0.0175438596,,False
2,1,A035720,KR7035720002,카카오,66800,FALL,3100,0.0443490701,,False
3,-1,A396270,KR7396270001,넥스트칩,14400,FALL,2750,0.1603498542,,False
rank,rankChange,symbolCode,code,name,tradePrice,change,changePrice,changeRate,chartSlideImage,isNew
1,0,A005930,KR7005930003,삼성전자,56000,FALL,1000,0.0175438596,,False
2,1,A035720,KR7035720002,카카오,66800,FALL,3100,0.0443490701,,False
3,-1,A396270,KR7396270001,넥스트칩,14400,FALL,2750,0.1603498542,,False
4,5,A004310,KR7004310009,현대약품,5780,RISE,1225,0.268935236,,False
rank,rankChange,symbolCode,code,name,tradePrice,change,changePrice,changeRate,chartSlideImage,isNew
1,0,A005930,KR7005930003,삼성전자,56000,FALL,1000,0.0175438596,,False
2,1,A035720,KR7035720002,카카오,66800,FALL,3100,0.0443490701,,False
3,-1,A396270,KR7396270001,넥스트칩,14400,FALL,2750,0.1603498542,,False
4,5,A004310,KR7004310009,현대약품,5780,RISE,1225,0.268935236,,False
5,1,A373220,KR7373220003,LG에너지솔루션,356500,FALL,14500,0.039083558,,False
rank,rankChange,symbolCode,code,name,tradePrice,change,changePrice,changeRate,chartSlideImage,isNew
1,0,A005930,KR7005930003,삼성전자,56000,FALL,1000,0.0175438596,,False
2,1,A035720,KR7035720002,카카오,66800,FALL,3100,0.0443490701,,False
3,-1,A396270,KR7396270001,넥스트칩,14400,FALL,2750,0.1603498542,,False
4,5,A004310,KR7004310009,현대약품,5780,RISE,1225,0.268935236,,False
5,1,A373220,KR7373220003,LG에너지솔루션,356500,FALL,14500,0.039083558,,False
6,-2,A001470,KR7001470004,삼부토건,2385,RISE,85,0.0369565217,,False
rank,rankChange,symbolCode,code,name,tradePrice,change,changePrice,changeRate,chartSlideImage,isNew
1,0,A005930,KR7005930003,삼성전자,56000,FALL,1000,0.0175438596,,False
2,1,A035720,KR7035720002,카카오,66800,FALL,3100,0.0443490701,,False
3,-1,A396270,KR7396270001,넥스트칩,14400,FALL,2750,0.1603498542,,False
4,5,A004310,KR7004310009,현대약품,5780,RISE,1225,0.268935236,,False
5,1,A373220,KR7373220003,LG에너지솔루션,356500,FALL,14500,0.039083558,,False
6,-2,A001470,KR7001470004,삼부토건,2385,RISE,85,0.0369565217,,False
7,1,A005935,KR7005931001,삼성전자우,51600,FALL,400,0.0076923077,,False
rank,rankChange,symbolCode,code,name,tradePrice,change,changePrice,changeRate,chartSlideImage,isNew
1,0,A005930,KR7005930003,삼성전자,56000,FALL,1000,0.0175438596,,False
2,1,A035720,KR7035720002,카카오,66800,FALL,3100,0.0443490701,,False
3,-1,A396270,KR7396270001,넥스트칩,14400,FALL,2750,0.1603498542,,False
4,5,A004310,KR7004310009,현대약품,5780,RISE,1225,0.268935236,,False
5,1,A373220,KR7373220003,LG에너지솔루션,356500,FALL,14500,0.039083558,,False
6,-2,A001470,KR7001470004,삼부토건,2385,RISE,85,0.0369565217,,False
7,1,A005935,KR7005931001,삼성전자우,51600,FALL,400,0.0076923077,,False
8,-1,A068270,KR7068270008,셀트리온,176500,FALL,2000,0.0112044818,,False
rank,rankChange,symbolCode,code,name,tradePrice,change,changePrice,changeRate,chartSlideImage,isNew
1,0,A005930,KR7005930003,삼성전자,56000,FALL,1000,0.0175438596,,False
2,1,A035720,KR7035720002,카카오,66800,FALL,3100,0.0443490701,,False
3,-1,A396270,KR7396270001,넥스트칩,14400,FALL,2750,0.1603498542,,False
4,5,A004310,KR7004310009,현대약품,5780,RISE,1225,0.268935236,,False
5,1,A373220,KR7373220003,LG에너지솔루션,356500,FALL,14500,0.039083558,,False
6,-2,A001470,KR7001470004,삼부토건,2385,RISE,85,0.0369565217,,False
7,1,A005935,KR7005931001,삼성전자우,51600,FALL,400,0.0076923077,,False
8,-1,A068270,KR7068270008,셀트리온,176500,FALL,2000,0.0112044818,,False
9,-4,A362320,KR7362320004,청담글로벌,12300,RISE,2100,0.2058823529,,False
rank,rankChange,symbolCode,code,name,tradePrice,change,changePrice,changeRate,chartSlideImage,isNew
1,0,A005930,KR7005930003,삼성전자,56000,FALL,1000,0.0175438596,,False
2,1,A035720,KR7035720002,카카오,66800,FALL,3100,0.0443490701,,False
3,-1,A396270,KR7396270001,넥스트칩,14400,FALL,2750,0.1603498542,,False
4,5,A004310,KR7004310009,현대약품,5780,RISE,1225,0.268935236,,False
5,1,A373220,KR7373220003,LG에너지솔루션,356500,FALL,14500,0.039083558,,False
6,-2,A001470,KR7001470004,삼부토건,2385,RISE,85,0.0369565217,,False
7,1,A005935,KR7005931001,삼성전자우,51600,FALL,400,0.0076923077,,False
8,-1,A068270,KR7068270008,셀트리온,176500,FALL,2000,0.0112044818,,False
9,-4,A362320,KR7362320004,청담글로벌,12300,RISE,2100,0.2058823529,,False
10,0,A090710,KR7090710005,휴림로봇,3140,FALL,255,0.0751104566,,True
